"","ASV","taxon","taxonomic_level"
"54","ASV_0209","Ammodytes personatus","species"
"55","ASV_0212","Clupea pallasii","species"
"56","ASV_0214","Hypomesus pretiosus","species"
"57","ASV_0216","Pholis laeta","species"
"58","ASV_0222","Hemilepidotus hemilepidotus","species"
"59","ASV_0224","Mallotus villosus","species"
"60","ASV_0228","Clupea pallasii","species"
"61","ASV_0232","Clupea pallasii","species"
"62","ASV_0234","Pholis laeta","species"
"63","ASV_0244","Mallotus villosus","species"
"64","ASV_0245","Clupea pallasii","species"
"65","ASV_0249","Clinocottus acuticeps","species"
"66","ASV_0254","Gasterosteus aculeatus","species"
"67","ASV_0258","Mallotus villosus","species"
"68","ASV_0265","Mallotus villosus","species"
"69","ASV_0266","Pholis laeta","species"
"70","ASV_0273","Trichodon trichodon","species"
"71","ASV_0277","Pholis laeta","species"
"72","ASV_0281","Mallotus villosus","species"
"73","ASV_0285","Clinocottus acuticeps","species"
"74","ASV_0291","Clupea pallasii","species"
"75","ASV_0292","Clupea pallasii","species"
"76","ASV_0294","Tarletonbeania crenularis","species"
"77","ASV_0298","Clupea pallasii","species"
"78","ASV_0299","Clupea pallasii","species"
"79","ASV_0302","Triglops pingelii","species"
"80","ASV_0307","Clupea pallasii","species"
"81","ASV_0310","Callorhinus ursinus","species"
"82","ASV_0313","Clupea pallasii","species"
"83","ASV_0317","Gasterosteus aculeatus","species"
"84","ASV_0320","Gasterosteus aculeatus","species"
"85","ASV_0321","Podothecus accipenserinus","species"
"86","ASV_0322","Oligocottus maculosus","species"
"87","ASV_0325","Clupea pallasii","species"
"88","ASV_0328","Clupea pallasii","species"
"89","ASV_0330","Clupea pallasii","species"
"90","ASV_0334","Mallotus villosus","species"
"91","ASV_0340","Clupea pallasii","species"
"92","ASV_0341","Pholis laeta","species"
"93","ASV_0343","Clupea pallasii","species"
"94","ASV_0345","Clinocottus embryum","species"
"95","ASV_0350","Mallotus villosus","species"
"96","ASV_0352","Clupea pallasii","species"
"97","ASV_0354","Ammodytes personatus","species"
"98","ASV_0355","Hypomesus pretiosus","species"
"99","ASV_0358","Oligocottus maculosus","species"
"100","ASV_0359","Clupea pallasii","species"
"101","ASV_0364","Gymnocanthus tricuspis","species"
"102","ASV_0366","Clupea pallasii","species"
"103","ASV_0368","Mallotus villosus","species"
"104","ASV_0380","Clupea pallasii","species"
"105","ASV_0386","Clupea pallasii","species"
"106","ASV_0389","Hypsagonus quadricornis","species"
"107","ASV_0395","Anoplopoma fimbria","species"
"108","ASV_0398","Clupea pallasii","species"
"109","ASV_0401","Lycodes raridens","species"
"110","ASV_0405","Clupea pallasii","species"
"111","ASV_0407","Lycodes brevipes","species"
"112","ASV_0415","Ammodytes hexapterus","species"
"113","ASV_0418","Citharichthys stigmaeus","species"
"114","ASV_0419","Clupea pallasii","species"
"115","ASV_0420","Lethenteron camtschaticum","species"
"116","ASV_0421","Citharichthys stigmaeus","species"
"117","ASV_0427","Clupea pallasii","species"
"118","ASV_0428","Clupea pallasii","species"
"119","ASV_0429","Clupea pallasii","species"
"120","ASV_0432","Clupea pallasii","species"
"121","ASV_0434","Clupea pallasii","species"
"122","ASV_0436","Mallotus villosus","species"
"123","ASV_0437","Mallotus villosus","species"
"124","ASV_0439","Gasterosteus aculeatus","species"
"125","ASV_0440","Lycodes palearis","species"
"126","ASV_0442","Mallotus villosus","species"
"127","ASV_0445","Clupea pallasii","species"
"128","ASV_0457","Ammodytes personatus","species"
"129","ASV_0458","Mallotus villosus","species"
"130","ASV_0462","Clupea pallasii","species"
"131","ASV_0472","Clupea pallasii","species"
"132","ASV_0474","Clupea pallasii","species"
"133","ASV_0479","Mallotus villosus","species"
"134","ASV_0480","Ammodytes hexapterus","species"
"135","ASV_0481","Ammodytes personatus","species"
"136","ASV_0482","Clupea pallasii","species"
"137","ASV_0485","Ammodytes personatus","species"
"138","ASV_0486","Clupea pallasii","species"
"139","ASV_0489","Clupea pallasii","species"
"140","ASV_0491","Clupea pallasii","species"
"141","ASV_0507","Clupea pallasii","species"
"142","ASV_0508","Clupea pallasii","species"
"143","ASV_0510","Clupea pallasii","species"
"144","ASV_0511","Clupea pallasii","species"
"145","ASV_0512","Ammodytes hexapterus","species"
"146","ASV_0517","Osmerus mordax","species"
"147","ASV_0530","Clupea pallasii","species"
"148","ASV_0531","Clupea pallasii","species"
"149","ASV_0532","Erignathus barbatus","species"
"150","ASV_0533","Phocoena phocoena","species"
"151","ASV_0536","Odobenus rosmarus","species"
"152","ASV_0538","Ammodytes hexapterus","species"
"153","ASV_0539","Clupea pallasii","species"
"154","ASV_0540","Phocoena phocoena","species"
"155","ASV_0545","Clupea pallasii","species"
"156","ASV_0552","Erignathus barbatus","species"
"157","ASV_0556","Clupea pallasii","species"
"158","ASV_0564","Balaenoptera physalus","species"
"159","ASV_0566","Clupea pallasii","species"
"160","ASV_0569","Clupea pallasii","species"
"161","ASV_0578","Mallotus villosus","species"
"162","ASV_0579","Clupea pallasii","species"
"163","ASV_0580","Clupea pallasii","species"
"164","ASV_0581","Clupea pallasii","species"
"165","ASV_0583","Zaprora silenus","species"
"166","ASV_0584","Gasterosteus aculeatus","species"
"167","ASV_0597","Clupea pallasii","species"
"168","ASV_0610","Oligocottus maculosus","species"
"169","ASV_0612","Mallotus villosus","species"
"170","ASV_0613","Clupea pallasii","species"
"171","ASV_0614","Clupea pallasii","species"
"172","ASV_0615","Clupea pallasii","species"
"173","ASV_0620","Clupea pallasii","species"
"174","ASV_0627","Clupea pallasii","species"
"175","ASV_0635","Gasterosteus aculeatus","species"
"176","ASV_0636","Osmerus mordax","species"
"177","ASV_0637","Liparis greeni","species"
"178","ASV_0647","Clupea pallasii","species"
"179","ASV_0663","Occella dodecaedron","species"
"180","ASV_0666","Clupea pallasii","species"
"181","ASV_0668","Mallotus villosus","species"
"182","ASV_0672","Clupea pallasii","species"
"183","ASV_0676","Clupea pallasii","species"
"184","ASV_0680","Clupea pallasii","species"
"185","ASV_0682","Stichaeus punctatus","species"
"186","ASV_0685","Clupea pallasii","species"
"187","ASV_0691","Acantholumpenus mackayi","species"
"188","ASV_0701","Lycodes squamiventer","species"
"189","ASV_0706","Clupea pallasii","species"
"190","ASV_0710","Clupea pallasii","species"
"191","ASV_0715","Clupea pallasii","species"
"192","ASV_0718","Aptocyclus ventricosus","species"
"193","ASV_0728","Acantholumpenus mackayi","species"
"194","ASV_0731","Clupea pallasii","species"
"195","ASV_0738","Clupea pallasii","species"
"196","ASV_0739","Mallotus villosus","species"
"197","ASV_0742","Lycodes polaris","species"
"198","ASV_0747","Ammodytes hexapterus","species"
"199","ASV_0749","Pusa hispida","species"
"200","ASV_0758","Clupea pallasii","species"
"201","ASV_0759","Clupea pallasii","species"
"202","ASV_0761","Gymnocanthus pistilliger","species"
"203","ASV_0764","Blepsias bilobus","species"
"204","ASV_0767","Ammodytes hexapterus","species"
"205","ASV_0771","Clupea pallasii","species"
"206","ASV_0772","Clupea pallasii","species"
"207","ASV_0773","Gasterosteus aculeatus","species"
"208","ASV_0778","Ammodytes personatus","species"
"209","ASV_0782","Clupea pallasii","species"
"210","ASV_0786","Clupea pallasii","species"
"211","ASV_0787","Clupea pallasii","species"
"212","ASV_0788","Clupea pallasii","species"
"213","ASV_0793","Clupea pallasii","species"
"214","ASV_0794","Ammodytes hexapterus","species"
"215","ASV_0805","Clupea pallasii","species"
"216","ASV_0808","Osmerus mordax","species"
"217","ASV_0819","Gasterosteus aculeatus","species"
"218","ASV_0823","Acantholumpenus mackayi","species"
"219","ASV_0825","Clupea pallasii","species"
"220","ASV_0828","Clupea pallasii","species"
"221","ASV_0833","Clupea pallasii","species"
"222","ASV_0834","Clupea pallasii","species"
"223","ASV_0842","Osmerus mordax","species"
"224","ASV_0845","Ammodytes hexapterus","species"
"225","ASV_0846","Aspidophoroides monopterygius","species"
"226","ASV_0856","Clupea pallasii","species"
"227","ASV_0857","Clupea pallasii","species"
"228","ASV_0858","Clupea pallasii","species"
"229","ASV_0859","Ammodytes personatus","species"
"230","ASV_0866","Acantholumpenus mackayi","species"
"231","ASV_0870","Clupea pallasii","species"
"232","ASV_0872","Anarhichas orientalis","species"
"233","ASV_0883","Clupea pallasii","species"
"234","ASV_0889","Osmerus mordax","species"
"235","ASV_0893","Balaenoptera physalus","species"
"236","ASV_0894","Ammodytes personatus","species"
"237","ASV_0896","Ammodytes personatus","species"
"238","ASV_0901","Delphinapterus leucas","species"
"239","ASV_0910","Pungitius pungitius","species"
"240","ASV_0912","Clupea pallasii","species"
"241","ASV_0919","Mallotus villosus","species"
"242","ASV_0922","Stichaeus punctatus","species"
"243","ASV_0927","Eumesogrammus praecisus","species"
"244","ASV_0935","Clupea pallasii","species"
"245","ASV_0943","Ammodytes hexapterus","species"
"246","ASV_0946","Ammodytes personatus","species"
"247","ASV_0957","Clupea pallasii","species"
"248","ASV_0962","Pholis laeta","species"
"249","ASV_0963","Clupea pallasii","species"
"250","ASV_0968","Zaprora silenus","species"
"251","ASV_0975","Pholis laeta","species"
"252","ASV_0976","Clupea pallasii","species"
"253","ASV_0979","Clupea pallasii","species"
"254","ASV_0984","Clupea pallasii","species"
"255","ASV_0986","Pleurogrammus monopterygius","species"
"256","ASV_0988","Clupea pallasii","species"
"257","ASV_0990","Lycodes palearis","species"
"258","ASV_0991","Mallotus villosus","species"
"259","ASV_0994","Mallotus villosus","species"
"260","ASV_1000","Thaleichthys pacificus","species"
"261","ASV_1001","Osmerus mordax","species"
"262","ASV_1004","Mallotus villosus","species"
"263","ASV_1006","Ammodytes personatus","species"
"264","ASV_1007","Eschrichtius robustus","species"
"265","ASV_1010","Pholis laeta","species"
"266","ASV_1017","Osmerus mordax","species"
"267","ASV_1021","Mallotus villosus","species"
"268","ASV_1023","Clupea pallasii","species"
"269","ASV_1026","Clupea pallasii","species"
"270","ASV_1033","Gasterosteus aculeatus","species"
"271","ASV_1036","Acantholumpenus mackayi","species"
"272","ASV_1040","Mallotus villosus","species"
"273","ASV_1044","Clupea pallasii","species"
"274","ASV_1046","Artedius lateralis","species"
"275","ASV_1057","Acantholumpenus mackayi","species"
"276","ASV_1059","Mallotus villosus","species"
"277","ASV_1064","Osmerus mordax","species"
"278","ASV_1067","Gasterosteus aculeatus","species"
"279","ASV_1071","Gasterosteus aculeatus","species"
"280","ASV_1078","Clupea pallasii","species"
"281","ASV_1082","Syngnathus leptorhynchus","species"
"282","ASV_1087","Callorhinus ursinus","species"
"283","ASV_1090","Clupea pallasii","species"
"284","ASV_1095","Clupea pallasii","species"
"285","ASV_1098","Osmerus mordax","species"
"286","ASV_1102","Clupea pallasii","species"
"287","ASV_1103","Clupea pallasii","species"
"288","ASV_1108","Osmerus mordax","species"
"289","ASV_1110","Artedius fenestralis","species"
"290","ASV_1111","Clupea pallasii","species"
"291","ASV_1112","Clupea pallasii","species"
"292","ASV_1113","Clupea pallasii","species"
"293","ASV_1114","Ammodytes personatus","species"
"294","ASV_1121","Glyptocephalus zachirus","species"
"295","ASV_1124","Clupea pallasii","species"
"296","ASV_1126","Ammodytes hexapterus","species"
"297","ASV_1127","Hypsagonus quadricornis","species"
"298","ASV_1129","Pleurogrammus monopterygius","species"
"299","ASV_1130","Osmerus mordax","species"
"300","ASV_1131","Clupea pallasii","species"
"301","ASV_1133","Clupea pallasii","species"
"302","ASV_1135","Clupea pallasii","species"
"303","ASV_1142","Ammodytes hexapterus","species"
"304","ASV_1144","Clupea pallasii","species"
"305","ASV_1146","Ammodytes personatus","species"
"306","ASV_1149","Clupea pallasii","species"
"307","ASV_1153","Ammodytes hexapterus","species"
"308","ASV_1154","Clupea pallasii","species"
"309","ASV_1155","Pungitius pungitius","species"
"310","ASV_1173","Clupea pallasii","species"
"311","ASV_1176","Ammodytes hexapterus","species"
"312","ASV_1186","Oligocottus maculosus","species"
"313","ASV_1192","Clupea pallasii","species"
"314","ASV_1193","Clupea pallasii","species"
"315","ASV_1198","Balaena mysticetus","species"
"316","ASV_1202","Aspidophoroides olrikii","species"
"317","ASV_1203","Tarletonbeania crenularis","species"
"318","ASV_1207","Ammodytes personatus","species"
"319","ASV_1210","Aspidophoroides olrikii","species"
"320","ASV_1220","Blepsias bilobus","species"
"321","ASV_1223","Clupea pallasii","species"
"322","ASV_1228","Clupea pallasii","species"
"323","ASV_1230","Gymnocanthus tricuspis","species"
"324","ASV_1233","Mallotus villosus","species"
"325","ASV_1242","Leuroglossus schmidti","species"
"326","ASV_1248","Mallotus villosus","species"
"327","ASV_1255","Clupea pallasii","species"
"328","ASV_1257","Clupea pallasii","species"
"329","ASV_1259","Ammodytes hexapterus","species"
"330","ASV_1266","Ammodytes personatus","species"
"331","ASV_1268","Mallotus villosus","species"
"332","ASV_1271","Ammodytes personatus","species"
"333","ASV_1272","Clupea pallasii","species"
"334","ASV_1274","Mallotus villosus","species"
"335","ASV_1281","Pungitius pungitius","species"
"336","ASV_1288","Clupea pallasii","species"
"337","ASV_1292","Ammodytes personatus","species"
"338","ASV_1296","Clupea pallasii","species"
"339","ASV_1310","Mallotus villosus","species"
"340","ASV_1312","Aspidophoroides monopterygius","species"
"341","ASV_1316","Osmerus mordax","species"
"342","ASV_1324","Ammodytes personatus","species"
"343","ASV_1325","Pungitius pungitius","species"
"344","ASV_1327","Clupea pallasii","species"
"345","ASV_1328","Clupea pallasii","species"
"346","ASV_1333","Ammodytes hexapterus","species"
"347","ASV_1334","Clupea pallasii","species"
"348","ASV_1337","Osmerus mordax","species"
"349","ASV_1344","Clupea pallasii","species"
"350","ASV_1350","Ammodytes personatus","species"
"351","ASV_1352","Osmerus mordax","species"
"352","ASV_1354","Mallotus villosus","species"
"353","ASV_1355","Clupea pallasii","species"
"354","ASV_1356","Acantholumpenus mackayi","species"
"355","ASV_1357","Mallotus villosus","species"
"356","ASV_1358","Clupea pallasii","species"
"357","ASV_1364","Megaptera novaeangliae","species"
"358","ASV_1374","Clupea pallasii","species"
"359","ASV_1379","Clupea pallasii","species"
"360","ASV_1381","Pungitius pungitius","species"
"361","ASV_1387","Clupea pallasii","species"
"362","ASV_1389","Clupea pallasii","species"
"363","ASV_1403","Ammodytes personatus","species"
"364","ASV_1404","Clupea pallasii","species"
"365","ASV_1407","Anoplopoma fimbria","species"
"366","ASV_1411","Thaleichthys pacificus","species"
"367","ASV_1414","Osmerus mordax","species"
"368","ASV_1426","Osmerus mordax","species"
"369","ASV_1427","Clupea pallasii","species"
"370","ASV_1443","Clupea pallasii","species"
"371","ASV_1448","Artedius lateralis","species"
"372","ASV_1456","Mallotus villosus","species"
"373","ASV_1459","Pleurogrammus monopterygius","species"
"374","ASV_1464","Gasterosteus aculeatus","species"
"375","ASV_1469","Enophrys diceraus","species"
"376","ASV_1482","Clupea pallasii","species"
"377","ASV_1485","Mallotus villosus","species"
"378","ASV_1492","Liparis greeni","species"
"379","ASV_1493","Opisthocentrus ocellatus","species"
"380","ASV_1494","Mallotus villosus","species"
"381","ASV_1497","Delphinapterus leucas","species"
"382","ASV_1500","Synthliboramphus antiquus","species"
"383","ASV_1503","Tarletonbeania crenularis","species"
"384","ASV_1505","Lagenorhynchus obliquidens","species"
"385","ASV_1509","Ammodytes personatus","species"
"386","ASV_1512","Lethenteron camtschaticum","species"
"387","ASV_1513","Leuroglossus schmidti","species"
"388","ASV_1515","Mallotus villosus","species"
"389","ASV_1517","Stenobrachius leucopsarus","species"
"390","ASV_1524","Phoca fasciata","species"
"391","ASV_1542","Phocoena phocoena","species"
"392","ASV_1547","Clupea pallasii","species"
"393","ASV_1551","Mallotus villosus","species"
"394","ASV_1556","Uria aalge","species"
"395","ASV_1586","Clupea pallasii","species"
"396","ASV_0253","Sebastes 1","genus"
"397","ASV_0253","Sebastes 1","genus"
"398","ASV_0253","Sebastes 1","genus"
"399","ASV_0253","Sebastes 1","genus"
"400","ASV_0253","Sebastes 1","genus"
"401","ASV_0253","Sebastes 1","genus"
"402","ASV_0253","Sebastes 1","genus"
"403","ASV_0253","Sebastes 1","genus"
"404","ASV_0253","Sebastes 1","genus"
"405","ASV_0253","Sebastes 1","genus"
"406","ASV_0253","Sebastes 1","genus"
"407","ASV_0253","Sebastes 1","genus"
"408","ASV_0253","Sebastes 1","genus"
"409","ASV_0253","Sebastes 1","genus"
"410","ASV_0253","Sebastes 1","genus"
"411","ASV_0253","Sebastes 1","genus"
"412","ASV_0253","Sebastes 1","genus"
"413","ASV_0253","Sebastes 1","genus"
"414","ASV_0253","Sebastes 1","genus"
"415","ASV_0253","Sebastes 1","genus"
"416","ASV_0160","Sebastes 2","genus"
"417","ASV_0160","Sebastes 2","genus"
"418","ASV_0160","Sebastes 2","genus"
"419","ASV_0160","Sebastes 2","genus"
"420","ASV_0160","Sebastes 2","genus"
"421","ASV_0185","Sebastes 3","genus"
"422","ASV_0185","Sebastes 3","genus"
"423","ASV_0314","Sebastes diploproa","species "
"424","ASV_0388","Sebastes 1","genus"
"425","ASV_0388","Sebastes 1","genus"
"426","ASV_0388","Sebastes 1","genus"
"427","ASV_0388","Sebastes 1","genus"
"428","ASV_0388","Sebastes 1","genus"
"429","ASV_0388","Sebastes 1","genus"
"430","ASV_0388","Sebastes 1","genus"
"431","ASV_0388","Sebastes 1","genus"
"432","ASV_0388","Sebastes 1","genus"
"433","ASV_0388","Sebastes 1","genus"
"434","ASV_0388","Sebastes 1","genus"
"435","ASV_0388","Sebastes 1","genus"
"436","ASV_0388","Sebastes 1","genus"
"437","ASV_0388","Sebastes 1","genus"
"438","ASV_0388","Sebastes 1","genus"
"439","ASV_0388","Sebastes 1","genus"
"440","ASV_0388","Sebastes 1","genus"
"441","ASV_0388","Sebastes 1","genus"
"442","ASV_0388","Sebastes 1","genus"
"443","ASV_0441","Sebastes 4","genus"
"444","ASV_0441","Sebastes 4","genus"
"445","ASV_0471","Sebastes 2","genus"
"446","ASV_0471","Sebastes 2","genus"
"447","ASV_0471","Sebastes 2","genus"
"448","ASV_0471","Sebastes 2","genus"
"449","ASV_0471","Sebastes 2","genus"
"450","ASV_1490","Sebastes 1","genus"
"451","ASV_1490","Sebastes 1","genus"
"452","ASV_1490","Sebastes 1","genus"
"453","ASV_1490","Sebastes 1","genus"
"454","ASV_1490","Sebastes 1","genus"
"455","ASV_1490","Sebastes 1","genus"
"456","ASV_1490","Sebastes 1","genus"
"457","ASV_1490","Sebastes 1","genus"
"458","ASV_1490","Sebastes 1","genus"
"459","ASV_1490","Sebastes 1","genus"
"460","ASV_1490","Sebastes 1","genus"
"461","ASV_1490","Sebastes 1","genus"
"462","ASV_1490","Sebastes 1","genus"
"463","ASV_1490","Sebastes 1","genus"
"464","ASV_1490","Sebastes 1","genus"
"465","ASV_1490","Sebastes 1","genus"
"466","ASV_1490","Sebastes 1","genus"
"467","ASV_1490","Sebastes 1","genus"
"468","ASV_1490","Sebastes 1","genus"
"469","ASV_0010","Limanda aspera","species"
"470","ASV_0025","Hippoglossoides","genus"
"471","ASV_0025","Hippoglossoides","genus"
"472","ASV_0027","Pleuronectes quadrituberculatus","species"
"473","ASV_0042","Pleuronectidae 1","family"
"474","ASV_0042","Pleuronectidae 1","family"
"475","ASV_0042","Pleuronectidae 1","family"
"476","ASV_0058","Lepidopsetta","genus"
"477","ASV_0058","Lepidopsetta","genus"
"478","ASV_0085","Hippoglossus stenolepis","species"
"479","ASV_0104","Pleuronectidae 1","family"
"480","ASV_0104","Pleuronectidae 1","family"
"481","ASV_0104","Pleuronectidae 1","family"
"482","ASV_0104","Pleuronectidae 1","family"
"483","ASV_0124","Pleuronectes quadrituberculatus","species"
"484","ASV_0130","Limanda aspera","species"
"485","ASV_0227","Pleuronectidae 1","family"
"486","ASV_0227","Pleuronectidae 1","family"
"487","ASV_0227","Pleuronectidae 1","family"
"488","ASV_0252","Lepidopsetta","genus"
"489","ASV_0252","Lepidopsetta","genus"
"490","ASV_0262","Pleuronectidae 1","family"
"491","ASV_0262","Pleuronectidae 1","family"
"492","ASV_0262","Pleuronectidae 1","family"
"493","ASV_0270","Limanda aspera","species"
"494","ASV_0276","Limanda aspera","species"
"495","ASV_0312","Limanda aspera","species"
"496","ASV_0333","Lepidopsetta","genus"
"497","ASV_0333","Lepidopsetta","genus"
"498","ASV_0369","Pleuronectes quadrituberculatus","species"
"499","ASV_0373","Myzopsetta proboscidea","species"
"500","ASV_0408","Limanda aspera","species"
"501","ASV_0412","Limanda aspera","species"
"502","ASV_0422","Hippoglossus stenolepis","species"
"503","ASV_0461","Pleuronectidae 1","family"
"504","ASV_0461","Pleuronectidae 1","family"
"505","ASV_0461","Pleuronectidae 1","family"
"506","ASV_0469","Pleuronectes quadrituberculatus","species"
"507","ASV_0497","Limanda aspera","species"
"508","ASV_0519","Limanda aspera","species"
"509","ASV_0650","Limanda aspera","species"
"510","ASV_0677","Limanda aspera","species"
"511","ASV_0679","Pleuronectidae 1","family"
"512","ASV_0679","Pleuronectidae 1","family"
"513","ASV_0679","Pleuronectidae 1","family"
"514","ASV_0687","Limanda aspera","species"
"515","ASV_0704","Limanda aspera","species"
"516","ASV_0713","Limanda aspera","species"
"517","ASV_0733","Limanda aspera","species"
"518","ASV_0737","Limanda aspera","species"
"519","ASV_0741","Pleuronectes quadrituberculatus","species"
"520","ASV_0745","Limanda aspera","species"
"521","ASV_0751","Hippoglossus stenolepis","species"
"522","ASV_0753","Limanda aspera","species"
"523","ASV_0789","Limanda aspera","species"
"524","ASV_0795","Limanda aspera","species"
"525","ASV_0813","Limanda aspera","species"
"526","ASV_0816","Pleuronectes quadrituberculatus","species"
"527","ASV_0838","Limanda aspera","species"
"528","ASV_0841","Limanda aspera","species"
"529","ASV_0865","Limanda aspera","species"
"530","ASV_0884","Pleuronectes quadrituberculatus","species"
"531","ASV_0898","Hippoglossus stenolepis","species"
"532","ASV_0898","Limanda aspera","species"
"533","ASV_0903","Pleuronectes quadrituberculatus","species"
"534","ASV_0908","Pleuronectidae 1","family"
"535","ASV_0908","Pleuronectidae 1","family"
"536","ASV_0908","Pleuronectidae 1","family"
"537","ASV_0909","Limanda aspera","species"
"538","ASV_0934","Limanda aspera","species"
"539","ASV_0948","Limanda aspera","species"
"540","ASV_0959","Pleuronectidae 2","family"
"541","ASV_0959","Pleuronectidae 2","family"
"542","ASV_1003","Limanda aspera","species"
"543","ASV_1013","Limanda aspera","species"
"544","ASV_1014","Limanda aspera","species"
"545","ASV_1019","Pleuronectes quadrituberculatus","species"
"546","ASV_1028","Hippoglossoides","genus"
"547","ASV_1028","Hippoglossoides","genus"
"548","ASV_1052","Pleuronectes quadrituberculatus","species"
"549","ASV_1073","Limanda aspera","species"
"550","ASV_1083","Hippoglossoides","genus"
"551","ASV_1083","Hippoglossoides","genus"
"552","ASV_1106","Limanda aspera","species"
"553","ASV_1169","Pleuronectes quadrituberculatus","species"
"554","ASV_1172","Reinhardtius hippoglossoides","species"
"555","ASV_1183","Lepidopsetta","genus"
"556","ASV_1183","Lepidopsetta","genus"
"557","ASV_1199","Pleuronectidae 2","family"
"558","ASV_1199","Pleuronectidae 2","family"
"559","ASV_1206","Limanda aspera","species"
"560","ASV_1215","Limanda aspera","species"
"561","ASV_1221","Limanda aspera","species"
"562","ASV_1238","Myzopsetta proboscidea","species"
"563","ASV_1253","Pleuronectes quadrituberculatus","species"
"564","ASV_1311","Pleuronectes quadrituberculatus","species"
"565","ASV_1339","Limanda aspera","species"
"566","ASV_1343","Lepidopsetta","genus"
"567","ASV_1343","Lepidopsetta","genus"
"568","ASV_1390","Limanda aspera","species"
"569","ASV_1476","Pleuronectidae 3","family"
"570","ASV_1476","Pleuronectidae 3","family"
"571","ASV_1476","Pleuronectidae 3","family"
"572","ASV_1476","Pleuronectidae 3","family"
"573","ASV_1476","Pleuronectidae 3","family"
"574","ASV_1508","Limanda aspera","species"
"575","ASV_1528","Pleuronectes quadrituberculatus","species"
"576","ASV_1559","Hippoglossus stenolepis","species"
"577","ASV_1575","Limanda aspera","species"
"578","ASV_0382","Atheresthes","genus"
"579","ASV_0382","Atheresthes","genus"
"580","ASV_1136","Lepidopsetta","genus"
"581","ASV_1136","Lepidopsetta","genus"
"582","ASV_1270","Atheresthes","genus"
"583","ASV_1270","Atheresthes","genus"
"584","ASV_0037","Myoxocephalus 1","genus"
"585","ASV_0037","Myoxocephalus 1","genus"
"586","ASV_0242","Myoxocephalus 1","genus"
"587","ASV_0242","Myoxocephalus 1","genus"
"588","ASV_0026","Myoxocephalus 2","genus"
"589","ASV_0026","Myoxocephalus 2","genus"
"590","ASV_0026","Myoxocephalus 2","genus"
"591","ASV_0134","Myoxocephalus 2","genus"
"592","ASV_0134","Myoxocephalus 2","genus"
"593","ASV_0134","Myoxocephalus 2","genus"
"594","ASV_0148","Hemilepidotus","genus"
"595","ASV_0148","Hemilepidotus","genus"
"596","ASV_0171","Myoxocephalus 2","genus"
"597","ASV_0171","Myoxocephalus 2","genus"
"598","ASV_0171","Myoxocephalus 2","genus"
"599","ASV_0259","Myoxocephalus 2","genus"
"600","ASV_0259","Myoxocephalus 2","genus"
"601","ASV_0259","Myoxocephalus 2","genus"
"602","ASV_0844","Hemilepidotus","genus"
"603","ASV_0844","Hemilepidotus","genus"
"604","ASV_0936","Myoxocephalus 2","genus"
"605","ASV_0936","Myoxocephalus 2","genus"
